Label,Characteristic,Year,Characteristic_code,total_hours_worked,fatal_injury_rate,margin_of_error
,Total,2019,,"296,600",3.5,0.01
,,2019,,,,
,Employee status,2019,,,,
,Wage and salary workers,2019,,"280,000",2.9,0.01
,Self-employed5,2019,,"16,400",13.2,0.35
, no data,2019,,,,
,Gender,2019,,,,
Dem,Men,2019,,"166,700",5.7,0.02
Dem,Women,2019,,"129,900",0.7,0
, no data,2019,,,,
,Age,2019,,,,
Dem,16 to 17 years,2019,,"1,600",2.2,0.1
Dem,18 to 19 years,2019,,"4,400",2.1,0.07
Dem,20 to 24 years,2019,,"24,000",2.5,0.03
Dem,25 to 34 years,2019,,"69,500",2.4,0.01
Dem,35 to 44 years,2019,,"65,300",2.9,0.02
Dem,45 to 54 years,2019,,"63,800",3.4,0.02
Dem,55 to 64 years,2019,,"51,600",4.6,0.04
Dem,65 years and over,2019,,"16,400",9.4,0.17
, no data,2019,,,,
,Race or ethnic origin6,2019,,,,
Dem,White (non-Hispanic),2019,,"184,400",3.5,0.02
Dem,Black or African-American (non-Hispanic),2019,,"34,300",3.6,0.04
Dem,Asian (non-Hispanic),2019,,"18,600",1.9,0.03
Dem,Hispanic or Latino,2019,,"51,900",4.2,0.03
,,2019,,,,
,Occupation7,2019,Occupation code7,,,
,Civilian Occupations,2019,,,,
Ind,"Management, professional, and related occupations",2019,"11, 13, 15, 17, 19, 21, 23, 25, 27, 29","125,100",1,0.01
,"Management, business, and financial operations occupations",2019,"11, 13","55,700",1.5,0.02
,Management occupations,2019,11-0000,"39,900",1.9,0.03
Occ,"Farmers, ranchers, and other agricultural managers",2019,13-Nov,"2,100",23.2,2.15
Occ,Construction managers,2019,21-Nov,"2,100",0.7,0.04
Occ,Food service managers,2019,Nov-51,"2,700",1.8,0.11
Occ,"Property, real estate, and community association managers",2019,Nov-41,"1,400",3.1,0.23
Occ,Business and financial operations occupations,2019,13-0000,"15,800",0.4,0.01
