Label,Characteristic,Year,Characteristic_code,total_fatal_injuries,total_hours_worked,fatal_injury_rate,margin_of_error
,Total,2017,no data,"5,147","285,977",3.5,0
, no data,2017,no data,no data,no data,no data,no data
,Employee status,2017,no data,no data,no data,no data,no data
,Wage and salary workers5,2017,no data,"4,069","269,535",2.9,0
,Self-employed6,2017,no data,"1,078","16,317",13.1,0.3
, no data,2017,no data,no data,no data,no data,no data
,Gender,2017,no data,no data,no data,no data,no data
Dem,Men,2017,no data,"4,761","161,535",5.7,0
Dem,Women,2017,no data,386,"124,442",0.6,0
, no data,2017,no data,no data,no data,no data,no data
,Age,2017,no data,no data,no data,no data,no data
Dem,16 to 17 years,2017,no data,7,"1,658",0.8,0
Dem,18 to 19 years,2017,no data,62,"4,167",2.6,0.1
Dem,20 to 24 years,2017,no data,293,"23,734",2.2,0
Dem,25 to 34 years,2017,no data,872,"66,241",2.5,0
Dem,35 to 44 years,2017,no data,907,"62,511",2.9,0
Dem,45 to 54 years,2017,no data,"1,059","63,933",3.3,0
Dem,55 to 64 years,2017,no data,"1,155","49,347",4.6,0
Dem,65 years and over,2017,no data,775,"14,386",10.3,0.2
, no data,2017,no data,no data,no data,no data,no data
,Race or ethnic origin7,2017,no data,no data,no data,no data,no data
Dem,White (non-Hispanic),2017,no data,"3,449","181,695",3.6,0
Dem,Black or African-American (non-Hispanic),2017,no data,530,"32,296",3.2,0
Dem,Asian (non-Hispanic),2017,no data,144,"17,289",1.6,0
Dem,Hispanic or Latino,2017,no data,903,"47,964",3.7,0
, no data,2017,no data,no data,no data,no data,no data
,Occupation8,2017,Occupation code8,no data,no data,no data,no data
,Civilian Occupations,2017,no data,no data,no data,no data,no data
Ind,"Management, professional, and related occupations",2017,"11, 13, 15, 17, 19, 21, 23, 25, 27, 29",654,"117,488",1.1,0
,"Management, business, and financial operations occupations",2017,"11, 13",425,"52,207",1.6,0
,Management occupations,2017,11-0000,396,"37,361",2.1,0
Occ,"Farmers, ranchers, and other agricultural managers",2017,Nov-13,258,"2,153",24,2.2
Occ,Construction managers,2017,Nov-21,12,"2,301",1,0.1
Occ,Food service managers,2017,Nov-51,19,"2,618",1.5,0.1
Occ,"Property, real estate, and community association managers",2017,Nov-41,16,"1,395",2.3,0.2
Occ,Business and financial operations occupations,2017,13-0000,29,"14,846",0.4,0
,Professional and related occupations,2017,"15, 17, 19,  21, 23, 25, 27, 29",229,"65,280",0.7,0
Occ,Computer and mathematical occupations,2017,15-0000,11,"9,490",0.2,0
Occ,Architecture and engineering occupations,2017,17-0000,23,"6,538",0.7,0
Occ,"Life, physical, and social science occupations",2017,19-0000,13,"2,756",0.9,0.1
Occ,Community and social service occupations,2017,21-0000,37,"4,872",1.4,0.1
Occ,Legal occupations,2017,23-0000,11,"3,728",0.6,0
Occ,"Education, training, and library occupations",2017,25-0000,30,"15,086",0.4,0
,"Arts, design, entertainment, sports, and media occupations",2017,27-0000,47,"5,617",1.6,0.1
Occ,"Athletes, coaches, umpires, and related workers",2017,27-2020,24,503,8.7,1.1
,Healthcare practitioners and technical occupations,2017,29-0000,57,"17,192",0.6,0
Occ,      Registered nurses,2017,29-1141,14,"5,698",0.5,0
Occ,                     Emergency medical technicians and paramedics,2017,29-2041,12,515,4.3,0.5
Ind,Service occupations,2017,"31, 33, 35, 37, 39",778,"45,191",3.3,0
Occ,Healthcare support occupations,2017,31-0000,28,"6,085",0.9,0
,Protective service occupations,2017,33-0000,266,"6,326",7.7,0.3
Occ,Firefighters,2017,33-2011,34,768,3.6,0.4
Occ,Police and sheriff's patrol officers,2017,33-3051,95,"1,476",12.9,1
Occ,Security guards and gaming surveillance officers,2017,33-9030,63,"1,764",7.1,0.5
,Food preparation and serving related occupations,2017,35-0000,89,"13,018",1.4,0
Occ,Supervisors of food preparation and serving workers,2017,35-1010,38,"1,975",3.8,0.3
,Building and grounds cleaning and maintenance occupations,2017,37-0000,326,"9,990",6.4,0.2
Occ,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",2017,37-1012,53,504,21,2.5
Occ,Janitors and building cleaners,2017,"37-2011, 37-2019",55,"3,876",2.8,0.1
Occ,Grounds maintenance workers,2017,37-3010,191,"2,406",15.5,0.9
Occ,Personal care and service occupations,2017,39-0000,69,"9,773",1.2,0
Ind,Sales and office occupations,2017,"41, 43",333,"60,180",1.1,0
,Sales and related occupations,2017,41-0000,232,"28,620",1.6,0
Occ,First-line supervisors of retail sales workers,2017,41-1011,79,"6,744",2.3,0.1
Occ,First-line supervisors of non-retail sales workers,2017,41-1012,19,"2,540",1.5,0.1
Occ,Cashiers (including gaming change persons and booth cashiers ),2017,41-2010,42,"4,586",1.8,0.1
Occ,Retail salespersons,2017,41-2031,43,"5,344",1.6,0.1
Occ,Office and administrative support occupations,2017,43-0000,101,"31,560",0.6,0
